time_id,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
1,116.51,35.13,132.59,56.31,103.92,107.13,41.99,3.24,4.41,30.16,124.74,127.11,145.46,102.23,9.18,114.51,64.06,119.36,19.33,1.81
2,109.77,36.06,120.64,49.53,101.09,102.18,41.25,1.99,2.61,17.49,113.26,118.94,129.43,98.72,3.72,107.66,39.57,119.47,14.04,0.37
3,107.29,37.87,114.39,42.13,101.09,100.8,70.24,1.04,3.29,18.51,108.13,114.08,125.29,98.79,4.86,107.66,29.83,117.32,18.99,0.0
4,107.57,41.36,112.35,37.08,101.85,103.47,61.13,1.36,3.78,11.35,105.26,107.77,129.38,99.06,3.89,101.13,23.89,117.8,14.73,0.0
5,109.49,41.21,110.85,47.6,105.1,107.48,63.0,1.06,3.92,9.49,104.49,106.55,135.98,95.77,4.37,105.19,23.82,120.22,14.06,0.21
6,115.51,48.98,108.37,64.77,115.18,116.91,81.04,2.11,3.94,11.75,92.68,118.47,148.96,103.8,14.52,104.57,21.04,136.43,16.0,1.15
7,132.5,77.52,106.61,104.09,136.01,149.81,132.56,1.99,3.04,13.5,100.17,135.22,180.89,133.71,63.44,109.71,32.02,172.57,63.63,4.19
8,141.74,84.21,93.24,123.86,146.63,168.81,159.58,1.33,1.5,19.14,107.11,148.44,226.88,144.05,90.28,114.99,62.44,176.44,79.07,9.6
9,169.92,74.72,68.31,122.5,128.76,138.51,127.81,0.0,1.61,16.69,110.32,152.71,199.91,146.88,109.18,114.8,68.28,147.56,83.4,9.48
10,158.05,52.31,34.75,119.24,98.85,97.44,81.78,0.0,0.12,6.99,98.88,114.24,171.45,126.05,96.8,94.37,44.89,113.98,55.07,9.48
11,136.12,31.22,19.74,109.81,55.13,64.16,24.89,0.0,0.0,3.21,85.57,90.64,139.74,99.61,73.82,74.79,17.52,87.25,34.88,7.38
12,113.9,22.85,13.08,102.97,18.52,35.75,1.09,0.0,0.0,1.76,52.8,74.23,128.03,87.28,45.99,44.63,7.78,72.81,13.53,4.97
13,102.84,16.51,14.02,92.07,13.67,38.93,0.0,0.0,0.0,1.72,27.83,59.73,115.03,78.34,23.59,10.01,6.86,63.32,4.84,5.0
14,95.63,13.45,10.25,88.92,11.2,37.55,0.0,0.0,0.0,1.74,20.66,42.45,93.83,55.23,13.23,3.23,7.91,59.6,5.9,4.44
15,85.92,12.82,7.97,87.38,13.63,36.84,9.4,0.0,0.0,1.59,24.36,52.85,86.32,53.81,11.09,1.35,20.41,74.06,7.9,3.87
16,83.14,18.35,13.07,94.0,14.01,34.48,9.55,0.0,0.0,2.04,24.73,73.76,93.83,62.73,13.02,1.85,54.23,92.31,37.35,6.37
17,76.41,64.99,4.96,108.77,27.25,40.74,10.78,0.0,0.0,10.78,32.43,91.77,105.49,82.22,35.06,2.17,81.03,102.87,74.86,29.2
18,103.26,104.94,15.63,130.11,80.24,91.49,76.6,0.51,0.0,28.0,66.02,106.73,130.06,110.85,77.43,32.5,110.3,139.17,115.89,68.93
19,109.13,134.12,42.56,155.3,109.06,134.26,137.96,27.14,0.13,55.68,88.97,128.11,152.08,151.14,104.81,73.07,138.87,158.94,151.57,101.32
20,109.23,144.76,60.66,229.12,120.76,170.02,193.97,26.64,10.22,122.97,99.38,146.37,188.66,175.04,121.62,95.82,154.02,168.3,157.36,101.09
21,100.24,146.79,53.98,243.82,110.46,160.55,184.92,29.56,12.13,120.4,95.38,144.41,181.17,176.05,125.56,89.13,143.9,142.78,144.58,31.96
22,67.46,136.71,42.96,173.77,95.36,137.1,145.79,24.13,10.96,96.09,84.16,136.06,165.75,171.76,122.35,69.81,131.53,118.97,128.48,19.78
23,57.76,130.57,41.49,144.68,72.95,121.4,128.95,15.49,9.99,73.92,66.04,125.91,152.65,158.33,112.85,49.11,125.27,115.98,124.35,26.65
24,54.58,121.0,38.6,128.02,43.02,109.47,118.15,15.41,8.56,41.83,49.61,115.56,131.37,148.45,108.82,22.43,119.53,105.88,115.0,14.06
