wind_scen,price_scen,imb_scen,profit_EUR
w1,p1,i1,114008.64561835107
w1,p1,i2,92698.7600531915
w1,p1,i3,99153.52245678192
w1,p1,i4,73128.27645611703
w1,p2,i1,72506.91348736703
w1,p2,i2,56970.8081582447
w1,p2,i3,64383.786971409594
w1,p2,i4,44717.52010970746
w1,p3,i1,58572.67544215426
w1,p3,i2,44457.75047207446
w1,p3,i3,49002.28977061171
w1,p3,i4,30855.058946143614
w1,p4,i1,119754.52217420215
w1,p4,i2,97904.69140625004
w1,p4,i3,104346.53911236706
w1,p4,i4,75725.54043550536
w1,p5,i1,85367.05683843086
w1,p5,i2,67232.83415226065
w1,p5,i3,75468.76003989362
w1,p5,i4,51534.14062167553
w1,p6,i1,107790.27726728725
w1,p6,i2,84908.01672207449
w1,p6,i3,94665.87308843088
w1,p6,i4,65395.28170545216
w1,p7,i1,87608.29741023938
w1,p7,i2,67679.58358710108
w1,p7,i3,78923.68460106384
w1,p7,i4,55166.476057180866
w1,p8,i1,5689.97661901596
w1,p8,i2,4516.1320511968115
w1,p8,i3,5605.298055186172
w1,p8,i4,3303.3212134308537
w1,p9,i1,3425.0876263297882
w1,p9,i2,2628.826605718086
w1,p9,i3,2566.370548537235
w1,p9,i4,1430.6201496010653
w1,p10,i1,30080.028989361712
w1,p10,i2,23900.942898936184
w1,p10,i3,24588.128148271284
w1,p10,i4,14812.054953457457
w1,p11,i1,80475.99821476064
w1,p11,i2,63339.22435505319
w1,p11,i3,69552.83191156916
w1,p11,i4,46727.3766256649
w1,p12,i1,116282.86782912233
w1,p12,i2,93771.18699135639
w1,p12,i3,100169.95491356384
w1,p12,i4,71320.95184840426
w1,p13,i1,155705.68085771278
w1,p13,i2,127024.24275265957
w1,p13,i3,134890.81057180854
w1,p13,i4,98598.35541555853
w1,p14,i1,121620.92752327128
w1,p14,i2,98169.40230718086
w1,p14,i3,106188.03726396277
w1,p14,i4,75947.52002327128
w1,p15,i1,64571.38720412235
w1,p15,i2,53073.90789561172
w1,p15,i3,58442.83983045214
w1,p15,i4,43758.58014960108
w1,p16,i1,70559.4384906915
w1,p16,i2,55566.04556515958
w1,p16,i3,61118.14930851064
w1,p16,i4,40983.20220744682
w1,p17,i1,66870.32922207449
w1,p17,i2,53414.913494015986
w1,p17,i3,57084.06721409577
w1,p17,i4,39322.83454787237
w1,p18,i1,126852.66876329789
w1,p18,i2,101748.38711768619
w1,p18,i3,111057.13687167555
w1,p18,i4,80341.1706582447
w1,p19,i1,67330.98345079788
w1,p19,i2,53867.136346409585
w1,p19,i3,60517.905917553195
w1,p19,i4,44037.51277260639
w1,p20,i1,19066.36586436171
w1,p20,i2,14920.036047207452
w1,p20,i3,16923.72558510639
w1,p20,i4,12760.35875997341
w2,p1,i1,47295.51016954788
w2,p1,i2,21349.59613696808
w2,p1,i3,30034.46235039895
w2,p1,i4,-587.450142952117
w2,p2,i1,31734.22815159575
w2,p2,i2,13843.39456781916
w2,p2,i3,23268.08033244683
w2,p2,i4,353.2350797872432
w2,p3,i1,41635.65599734043
w2,p3,i2,25996.19994680852
w2,p3,i3,32903.5089793883
w2,p3,i4,13518.11055851064
w2,p4,i1,41504.03651263301
w2,p4,i2,15120.706243351091
w2,p4,i3,23474.093357712794
w2,p4,i4,-10844.560501994652
w2,p5,i1,42155.87410239364
w2,p5,i2,20282.20478058512
w2,p5,i3,32211.404235372353
w2,p5,i4,4304.491439494689
w2,p6,i1,52123.79600066491
w2,p6,i2,25052.52648936172
w2,p6,i3,38609.704368351086
w2,p6,i4,4598.458417553217
w2,p7,i1,38235.27441821809
w2,p7,i2,14688.575987367034
w2,p7,i3,29450.27049534575
w2,p7,i4,1066.4697140957558
w2,p8,i1,2387.5806250000014
w2,p8,i2,1189.6534807180874
w2,p8,i3,2481.5578723404265
w2,p8,i4,-28.532224069147077
w2,p9,i1,2669.2558045212772
w2,p9,i2,1881.9406582446813
w2,p9,i3,1804.008909574469
w2,p9,i4,604.7729122340434
w2,p10,i1,14898.993769946816
w2,p10,i2,7953.43835438831
w2,p10,i3,9225.04244015958
w2,p10,i4,-2037.263111702122
w2,p11,i1,43793.22902593086
w2,p11,i2,23839.792985372354
w2,p11,i3,32509.900821143634
w2,p11,i4,6775.038231383003
w2,p12,i1,56171.55381648936
w2,p12,i2,30028.621768617035
w2,p12,i3,38826.22303856383
w2,p12,i4,5851.825196143629
w2,p13,i1,68142.51021609044
w2,p13,i2,33442.991595744694
w2,p13,i3,45054.30323138299
w2,p13,i4,2114.399378324477
w2,p14,i1,56167.17135970745
w2,p14,i2,28920.70019946809
w2,p14,i3,39431.58047872341
w2,p14,i4,4536.292516622349
w2,p15,i1,21378.243374335114
w2,p15,i2,7273.362101063848
w2,p15,i3,14068.012978723411
w2,p15,i4,-4195.283922872329
w2,p16,i1,39541.0595212766
w2,p16,i2,21924.39571143618
w2,p16,i3,30089.273507313832
w2,p16,i4,7304.759348404265
w2,p17,i1,29672.72581781916
w2,p17,i2,14595.039361702136
w2,p17,i3,19124.695744680874
w2,p17,i4,-1133.6302559840224
w2,p18,i1,55735.3783344415
