hour,q_DA_MW
1,190.9029255319149
2,274.1755319148936
3,269.65026595744683
4,126.343085106383
5,207.6462765957447
6,193.78989361702128
7,181.68484042553192
8,179.09574468085108
9,120.77792553191487
10,93.33377659574468
11,106.9188829787234
12,117.54255319148938
13,123.49468085106382
14,131.9747340425532
15,152.79388297872336
16,181.22872340425533
17,192.67952127659572
18,208.3497340425532
19,227.14893617021275
20,223.68351063829783
21,233.5598404255319
22,218.03590425531917
23,303.5558510638298
24,234.72074468085103
