fold,scheme,in_sample_profit,out_of_sample_profit
1,one_price,396207.5562474435,403602.7481201447
1,two_price,363372.38340985705,368638.8582297574
2,one_price,400601.1335544847,402975.09421913873
2,two_price,366895.292575246,368154.3413404309
3,one_price,426265.87381704454,399308.7027530585
3,two_price,391440.54692441825,364463.91855010204
4,one_price,406904.4745723604,402074.6169308708
4,two_price,371534.6819493883,367417.97179816884
5,one_price,398590.281002623,403262.35886940453
5,two_price,362127.0739546875,368586.8840019674
6,one_price,397832.99375863693,403370.54276140255
6,two_price,363724.18316995015,368634.0450873125
7,one_price,387248.5603443218,404882.6046777336
7,two_price,352477.56583691825,370214.2078195992
8,one_price,407775.9197915426,401950.12475670234
8,two_price,373635.9277638032,367077.5091771602
