scheme,beta,expected_profit,cvar
one_price,0.0,402678.3491360572,2598.4724946808515
one_price,0.1,402678.3491360572,25028.076055830283
one_price,0.2,402678.3491360572,25028.076055830283
one_price,0.3,402678.3491360572,25028.076055830283
one_price,0.4,402678.3491360572,25028.076055830283
one_price,0.5,402678.3491360572,25028.076055830283
one_price,0.6,402678.3491360572,25028.076055830283
one_price,0.7,402678.3491360572,25028.076055830283
one_price,0.8,402678.3491360572,25028.076055830283
one_price,0.9,402678.3491360572,25028.076055830283
one_price,1.0,401462.35765437584,25052.28965667129
two_price,0.0,368056.2903574368,-10844.560501994652
two_price,0.1,367984.1473449757,16440.25340896564
two_price,0.2,367932.7514479827,16767.360776407266
two_price,0.3,367437.3718744839,18317.522743284575
two_price,0.4,366806.24353499,19574.18588967337
two_price,0.5,366131.85998191655,20426.885894167754
two_price,0.6,365049.90322830784,21282.78772794841
two_price,0.7,364338.95833606005,21661.79687451144
two_price,0.8,362957.3326115049,22096.87867343172
two_price,0.9,361242.28577445855,22391.40479802244
two_price,1.0,358775.17428530916,22497.348959570307
